turno;nacionalidade;uf;codigo;nome;cargo;totalVotos;numeroCandidatoMaisVotado;totalVotosCandidatoMaisVotado;% do total de votos;Faixa;Candidato;Cor
1;Brasil;pi;10804;GUARIBAS;presidente;2987;13;2785;93,24%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;30465;SALTO DEL GUAIRÁ;presidente;311;17;280;90,03%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ma;7161;BELÁGUA;presidente;4786;13;4287;89,57%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10707;CAPITÃO GERVÁSIO OLIVEIRA;presidente;2766;13;2477;89,55%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pe;23167;CARNAUBEIRA DA PENHA;presidente;7432;13;6599;88,79%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;37222;MATINA;presidente;6220;13;5480;88,10%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ma;8524;SERRANO DO MARANHÃO;presidente;5232;13;4607;88,05%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;am;2119;BARREIRINHA;presidente;13508;13;11859;87,79%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;35890;IRAQUARA;presidente;12259;13;10698;87,27%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Exterior;zz;29580;CONCEPCIÓN;presidente;39;17;34;87,18%;70 a 90%;Bolsonaro;Bolsonaro (70 a 90%)
1;Brasil;ba;33812;BOQUIRA;presidente;10567;13;9186;86,93%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10642;BREJO DO PIAUÍ;presidente;2609;13;2268;86,93%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12181;CURRAL NOVO DO PIAUÍ;presidente;3242;13;2815;86,83%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;33260;ANDORINHA;presidente;8805;13;7645;86,83%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;10260;FARTURA DO PIAUÍ;presidente;3133;13;2720;86,82%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;34029;CAETANOS;presidente;6575;13;5700;86,69%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;ba;36714;JUSSARA;presidente;8507;13;7343;86,32%;70 a 90%;Haddad;Haddad (70 a 90%)
1;Brasil;pi;12351;CAMPO ALEGRE DO FIDALGO;presidente;3288;13;2836;86,25%;70 a 90%;Haddad;Haddad (70 a 90%)
