,codigo_tse,uf,nome_municipio,capital,codigo_ibge
0,1120,AC,ACRELÂNDIA,0,1200013
1,1570,AC,ASSIS BRASIL,0,1200054
2,1058,AC,BRASILÉIA,0,1200104
3,1007,AC,BUJARI,0,1200138
4,1015,AC,CAPIXABA,0,1200179
5,1074,AC,CRUZEIRO DO SUL,0,1200203
6,1112,AC,EPITACIOLÂNDIA,0,1200252
7,1139,AC,FEIJÓ,0,1200302
8,1104,AC,JORDÃO,0,1200328
9,1554,AC,MANOEL URBANO,0,1200344
10,1040,AC,MARECHAL THAUMATURGO,0,1200351
11,1090,AC,MÂNCIO LIMA,0,1200336
12,1511,AC,PLÁCIDO DE CASTRO,0,1200385
13,1023,AC,PORTO ACRE,0,1200807
14,1066,AC,PORTO WALTER,0,1200393
15,1392,AC,RIO BRANCO,1,1200401
16,1082,AC,RODRIGUES ALVES,0,1200427
17,1031,AC,SANTA ROSA DO PURUS,0,1200435
18,1457,AC,SENA MADUREIRA,0,1200500
19,1538,AC,SENADOR GUIOMARD,0,1200450
20,1473,AC,TARAUACÁ,0,1200609
21,1490,AC,XAPURI,0,1200708
22,27030,AL,ANADIA,0,2700201
23,27057,AL,ARAPIRACA,0,2700300
24,27073,AL,ATALAIA,0,2700409
25,27090,AL,BARRA DE SANTO ANTÔNIO,0,2700508
26,27111,AL,BARRA DE SÃO MIGUEL,0,2700607
27,27138,AL,BATALHA,0,2700706
28,27170,AL,BELO MONTE,0,2700904
29,27154,AL,BELÉM,0,2700805
30,27197,AL,BOCA DA MATA,0,2701001
31,27219,AL,BRANQUINHA,0,2701100
32,27235,AL,CACIMBINHAS,0,2701209
33,27251,AL,CAJUEIRO,0,2701308
34,27081,AL,CAMPESTRE,0,2701357
35,27278,AL,CAMPO ALEGRE,0,2701407
36,27294,AL,CAMPO GRANDE,0,2701506
37,27316,AL,CANAPI,0,2701605
38,27332,AL,CAPELA,0,2701704
39,27359,AL,CARNEIROS,0,2701803
40,27375,AL,CHÃ PRETA,0,2701902
41,27391,AL,COITÉ DO NÓIA,0,2702009
42,27413,AL,COLÔNIA LEOPOLDINA,0,2702108
43,27430,AL,COQUEIRO SECO,0,2702207
44,27456,AL,CORURIPE,0,2702306
45,28894,AL,CRAÍBAS,0,2702355
46,27472,AL,DELMIRO GOUVEIA,0,2702405
47,27499,AL,DOIS RIACHOS,0,2702504
48,27049,AL,ESTRELA DE ALAGOAS,0,2702553
49,27510,AL,FEIRA GRANDE,0,2702603
50,27537,AL,FELIZ DESERTO,0,2702702
51,27553,AL,FLEXEIRAS,0,2702801
52,27570,AL,GIRAU DO PONCIANO,0,2702900
53,27596,AL,IBATEGUARA,0,2703007
54,27618,AL,IGACI,0,2703106
55,27634,AL,IGREJA NOVA,0,2703205
56,27650,AL,INHAPI,0,2703304
57,27677,AL,JACARÉ DOS HOMENS,0,2703403
58,27693,AL,JACUÍPE,0,2703502
59,27715,AL,JAPARATINGA,0,2703601
60,27731,AL,JARAMATAIA,0,2703700
61,27065,AL,JEQUIÁ DA PRAIA,0,2703759
62,27758,AL,JOAQUIM GOMES,0,2703809
63,27774,AL,JUNDIÁ,0,2703908
64,27790,AL,JUNQUEIRO,0,2704005
65,27812,AL,LAGOA DA CANOA,0,2704104
66,27839,AL,LIMOEIRO DE ANADIA,0,2704203
67,27855,AL,MACEIÓ,1,2704302
68,27871,AL,MAJOR ISIDORO,0,2704401
69,27979,AL,MAR VERMELHO,0,2704906
70,27898,AL,MARAGOGI,0,2704500
71,27910,AL,MARAVILHA,0,2704609
72,27936,AL,MARECHAL DEODORO,0,2704708
73,27952,AL,MARIBONDO,0,2704807
74,27995,AL,MATA GRANDE,0,2705002
75,28010,AL,MATRIZ DE CAMARAGIBE,0,2705101
76,28037,AL,MESSIAS,0,2705200
77,28053,AL,MINADOR DO NEGRÃO,0,2705309
78,28070,AL,MONTEIRÓPOLIS,0,2705408
79,28096,AL,MURICI,0,2705507
80,28118,AL,NOVO LINO,0,2705606
